rank,season,team,experience,batting intent,batting consistency,pace wicket taker,pace economy,spin wicket taker,spin economy
1,2016,GL,100.0,52.07904650701681,30.96087316378966,35.913312693498455,0.0,30.030959752321984,0.0
2,2016,RCB,100.0,54.867747015088995,40.132745031489236,40.896358543417364,0.0,43.417366946778714,0.0
3,2016,SRH,100.0,62.23927569260344,41.10004902515367,37.908496732026144,0.0,18.954248366013072,0.0
4,2016,KKR,100.0,50.36012278498674,32.827808575630726,28.23529411764706,0.0,20.88235294117647,0.0
1,2017,MI,97.22222222222223,70.58321278578515,43.729793156823845,44.573643410852725,0.0,34.81912144702844,0.0
2,2017,RPS,80.0,59.781271782879514,33.42995169082127,33.953488372093034,0.0,32.79069767441861,0.0
3,2017,SRH,86.84210526315789,50.38663316713749,41.956846953920035,40.02447980416158,0.0,13.831089351285195,0.0
4,2017,KKR,86.84210526315789,62.477055860031,39.604065776169456,27.600979192166477,0.0,20.563035495716043,0.0
1,2018,SRH,78.33333333333333,54.128615507558436,30.720928335440714,38.05555555555556,0.0,20.833333333333336,0.0
2,2018,CSK,78.33333333333333,56.108515172367866,36.30582860872048,41.38888888888889,0.0,31.666666666666668,0.0
3,2018,KKR,72.91666666666666,66.56321449976691,35.59825835134804,21.180555555555554,0.0,27.77777777777778,0.0
4,2018,RR,66.66666666666666,56.80352738713751,30.009681789005693,39.1812865497076,0.0,38.59649122807018,0.0
1,2019,MI,71.5909090909091,51.67513593170384,29.62564625080192,41.57575757575758,0.0,33.151515151515156,0.0
2,2019,CSK,85.52631578947368,45.24432938130681,33.30274628039589,38.10526315789474,0.0,45.333333333333336,0.0
3,2019,DC,70.0,58.45667970933482,28.581361560813615,29.666666666666668,0.0,20.46666666666667,0.0
4,2019,SRH,80.0,57.27110117384014,31.28165213781652,31.26666666666667,0.0,13.533333333333335,0.0
1,2020,MI,84.0,68.76952380952382,43.80317374728234,42.333333333333336,0.0,32.333333333333336,0.0
2,2020,DC,70.0,52.31085714285714,30.327571367835997,40.5,0.0,20.25,0.0
3,2020,SRH,68.57142857142857,48.652517006802725,33.07350419247305,29.761904761904763,0.0,20.476190476190474,0.0
4,2020,RCB,63.333333333333336,54.46380952380952,35.9277156186019,36.94444444444444,0.0,32.22222222222222,0.0
1,2021,DC,70.0,56.9687025307386,39.079028584807276,26.5,0.0,15.75,0.0
2,2021,CSK,76.04166666666667,58.33775185577943,42.66516612391717,35.3125,0.0,24.375,0.0
3,2021,RCB,51.666666666666664,48.57441747155427,30.762190579571335,45.5,0.0,42.0,0.0
4,2021,KKR,65.78947368421052,55.683036946641344,30.942883036081366,47.36842105263158,0.0,45.26315789473684,0.0
1,2022,GT,57.142857142857146,48.63783274800224,35.00483669056561,34.72222222222222,0.0,21.944444444444443,0.0
2,2022,RR,59.52380952380952,61.00645136662086,36.1796308941239,41.666666666666664,0.0,28.88888888888889,0.0
3,2022,LSG,63.02521008403361,64.5078278677481,37.99906613379392,29.41176470588235,0.0,20.88235294117647,0.0
4,2022,RCB,57.983193277310924,57.92554768128049,40.373144819552955,54.11764705882353,0.0,38.23529411764706,0.0
1,2023,GT,58.333333333333336,52.55079365079365,37.51285436271779,50.0,0.0,38.888888888888886,0.0
2,2023,CSK,54.861111111111114,45.072698412698415,29.852360143357064,48.05555555555556,0.0,38.888888888888886,0.0
3,2023,LSG,53.80434782608695,53.07627329192547,30.875946485744393,49.130434782608695,0.0,42.17391304347826,0.0
4,2023,MI,39.88095238095238,57.04489795918367,34.09859443279613,34.523809523809526,0.0,35.476190476190474,0.0
1,2024,KKR,50.0,62.15902883832923,42.93694907641348,56.388888888888886,0.0,48.611111111111114,0.0
2,2024,SRH,58.33333333333333,59.864559064510026,35.39561226208525,42.0,0.0,34.5,0.0
3,2024,RR,53.80116959064327,55.73683447809331,35.78495252785832,45.526315789473685,0.0,33.94736842105263,0.0
4,2024,RCB,50.505050505050505,62.35684455555815,31.17640528580399,41.13636363636363,0.0,26.363636363636363,0.0
1,2025,PBKS,44.805194805194965,48.73950103898242,30.41287878787879,35.90909090909091,0.0,32.95454545454545,0.0
2,2025,RCB,51.12781954887232,54.02293704516209,39.50877192982456,37.10526315789474,0.0,24.736842105263158,0.0
3,2025,GT,57.70975056689367,60.48151298679521,35.510416666666664,39.72222222222222,0.0,33.05555555555556,0.0
4,2025,MI,47.866419294990855,54.309095399291046,33.76704545454545,45.45454545454545,0.0,35.45454545454545,0.0
