SEASON,TEAM,SLOTS,OVERSEAS SLOTS,PURSE
2025,PBKS,23,8,110.5
2025,RCB,22,8,110.5
2025,DC,21,7,110.5
2025,GT,20,7,110.5
2025,LSG,20,7,110.5
2025,CSK,20,7,110.5
2025,KKR,19,6,110.5
2025,MI,20,8,110.5
2025,SRH,20,5,110.5
2025,RR,19,7,110.5
2024,PBKS,8,2,110.5
2024,SRH,6,3,110.5
2024,KKR,12,4,110.5
2024,DC,9,4,110.5
2024,RCB,7,3,110.5
2024,MI,8,2,110.5
2024,RR,8,3,110.5
2024,LSG,6,2,110.5
2024,GT,7,2,110.5
2024,CSK,6,,110.5
2023,SRH,13,4,42.25
2023,PBKS,9,3,32.2
2023,LSG,10,4,23.35
2023,MI,9,3,20.55
2023,CSK,7,2,20.45
2023,DC,5,2,19.45
2023,GT,7,3,19.25
2023,RR,9,4,13.2
2023,RCB,7,2,8.75
2023,KKR,11,3,7.05
2022,CSK,21,7,48
2022,DC,21,7,47.5
2022,KKR,21,6,48
2022,MI,21,7,48
2022,PBKS,23,8,72
2022,RR,22,7,62
2022,RCB,22,7,57
2022,SRH,22,7,68
2022,GT,22,7,52
2022,LSG,22,7,59
2021,CSK,7,1,22.9
2021,DC,6,2,12.9
2021,PBKS,9,5,53.2
2021,KKR,8,2,10.75
2021,MI,8,4,15.35
2021,RR,8,5,34.85
2021,RCB,13,4,35.9
2021,SRH,3,1,10.75
2020,KXIP,9,4,42.7
2020,RCB,12,6,27.9
2020,KKR,11,4,35.65
2020,DC,11,5,27.85
2020,SRH,7,2,17
2020,MI,7,2,13.05
2020,CSK,5,2,14.6
2020,RR,12,6,27.9
2019,KXIP,15,4,36.2
2019,DC,10,3,25.5
2019,RR,9,4,20.95
2019,RCB,10,6,18.15
2019,KKR,12,5,15.2
2019,MI,7,2,11.15
2019,SRH,5,2,9.7
2019,CSK,2,0,8.4
2018,KXIP,24,8,67.5
2018,RR,24,7,67.5
2018,KKR,23,6,59
2018,SRH,23,7,59
2018,RCB,22,7,49
2018,CSK,22,8,47
2018,MI,22,8,47
2018,DD,22,7,47
2017,DD,9,4,21.5
2017,KXIP,8,4,23.35
2017,KKR,13,5,19.75
2017,MI,7,3,11.555
2017,RCB,7,1,12.825
2017,SRH,10,4,20.9
2017,RPS,11,4,19.1
2017,GL,11,3,14.35
2016,DD,13,3,36.85
2016,KXIP,13,5,23
2016,KKR,12,3,17.95
2016,MI,8,3,14.405
2016,RCB,13,4,21.625
2016,SRH,10,4,30.15
2016,RPS,22,7,29.25
2016,GL,22,6,38.65
